Marca de temps,Name of Student Track,"Q1. Note Onset Security. Did the student hit the note at exactly the right time, not too early, too late? (consider syncopation and stylisitic elements) [Onset ]"," Please add comments regarding overall exactness of the musician to hit the note at the appropriate time from listening to the piece, justifying your grade and mentioning particular bars of interest.",Q2. Duration. Holding note for the required length (crotchers and quavers etc are given their correct duration). Consider also that Staccato will mean slighlty shorter duration  (and the opposite feel for legato). Consider the nuances of tied notes and the role syncopation has for the particular piece. [Duration], Please add comments regarding overall aspect of duration/ note length you have from listening to the piece justifying your grade and mentioning particular bars of interest.,Q1. Articulation & Coordination [Articulation],Q2.  Dynamics (volume control) [Dynamics],Q3. Sound Quality                                           [Sound Quality],"Please add additional comments on the above Technical Control aspects of the song, to justify your choice.","Please add additional comments on stylistic understanding (eg mood and character),  listener engagement. Finally write a number between 5 (highly convincing) and 1 (unreliable) classify the overall impact of the song.                            "
2021/04/28 9:21:24 a. m. EET,Billy1,"Very accurate, tiny deviations","En esta pista la ""Note Onset Security"" es muy precisa. Solamente algunos desajustes un poco mas notables en el Chorus. El groove principal está muy bien. ",very good fidelity,"La mayoria de notas están muy bien interpretadas en cuanto a ""Duration"".",Largely fulfilled (ocassion lapse),Very Good control,Very Good,En el groove principal hay algunas notas que en alguna repetición no suenan. Eso puede ser un problema puramente técnico de colocación de dedos. Intentar practicar más lento para asegurarnos de que suenen todas las notas. ,4
2021/04/28 9:27:50 a. m. EET,Billy2,Some noticeable deviations,"Aunque el bajo sigue bastante bien la canción, hay una tendencia a tocar por detrás del ""beat"". Intentar que el bajo y el bombo de la bateria coincidan. ",good,"En esta grabación tenemos un problema de duración de las notas. Son mayoritariamente demasiado ""staccato"". Debemos intentar que suenen la ""duration/note lengh"" sea más precisa. ",Largely fulfilled (ocassion lapse),Some dynamics noted,Largely good (ocassion lapse),"Aunque no está nada mal, hay varios puntos a mejorar. 1. Debemos asegurar que todas las notas nos suenen. 2. Debemos mantener un volumen (Dynamics) en sincronía con la canción, además si controlamos el volumen también controlaremos mejor el ""Sound Quality"". ",3
2021/04/28 9:30:49 a. m. EET,Billy3,Mostly accurate,"Bastante preciso, aunque con tendencia a ir más rápido que la canción (por delante del ""beat"")",very good fidelity,Bastante preciso y en consonancia con la canción. ,Fullfilled,Excellent,Very Good,"Muy buen sonido y control de ""Dynamics"". ",4
2021/04/28 9:33:46 a. m. EET,Billy4,Mostly accurate,"Buena ""Note Onset Security"" anque con algunos desajustes de tempo, sobretodo en el groove principal. Intentar que el bajo y la bateria suenen ""juntos"". ",very good fidelity,Buena duración de las notas. Bastante preciso. ,Fullfilled,Very Good control,Very Good,"En general muy buena ""articulation"", ""sound quality"" y ""Dynamics"". ",4
2021/04/28 9:37:18 a. m. EET,Billy5,"Very accurate, tiny deviations","Buena ""Note Onset Security"", aunque con algunas pequeñas ""deviations"" de tempo. ",very good fidelity,"En general, buena ""Duration"" de las notas. ",Largely fulfilled (ocassion lapse),Very Good control,Very Good,"Buen ""Volume control"" y ""Sound Cuality"". 
En dos momentos puntuales el bajo no va con el tema. Seguramente es un tema más de concentración que de ""Articulation"" o ""Coordination"". ",3
2021/04/28 9:41:38 a. m. EET,Billy6,"Very accurate, tiny deviations","""Note onset Security"" muy precisa (casi ""Exact""), sin embargo en algunos momentos hay tendéncia a ir un poco por detrás del ""beat"". ",Excellent fidelity to defined note duration,"""Duration"" MUY precisa.",Fulfilled to a very high degree,Excellent,Very Good,"En la Eq de esta grabación hay demasiados bajos ""low"". Esto hace que se pierda definición (y por lo tanto algo de ""Sound Quality""). ",4.5
2021/04/28 9:44:46 a. m. EET,Billy7,"Very accurate, tiny deviations","En general buena ""Note Onset Securty"". Buen tempo, pero con algunos desajustes en los cambios de sección. ",very good fidelity,"En general buena ""duration"" de las notas, auqnue no excelente. ",Fullfilled,Some dynamics noted,A few blemishes,"Aunque la interpretación es bastante buena, la calidad del sonido (sobretodo de la grabación) es un poco pobre.",2
2021/04/28 9:48:50 a. m. EET,Billy8,Some noticeable deviations,"Cuidado con los desajustes de ""note onset security"" en los cambios de acordes y secciones y con la tendencia a tocar por delante del ""beat"" (demasiado rápido en algunos momentos. ",good,"Vigilar no tocar demasiado ""staccato"", las notas deben durar un poco más. ",Fullfilled,Very Good control,Largely good (ocassion lapse),"Aunque generalmente hay un buen control de la dinamica y del sonido, en esta grabación el bajo suena demasiado ""metalico"" (tal vez con demaiado tono o con cuerdas demasiado nuevas), el sonido del bajo de esta canción debe ser menos brillante. ",3
2021/07/21 3:19:19 p. m. EET,Billy9,No alignment with score,"weak sound, deviated a lot  at bridge the second part ",poor,"weak sound, deviated a lot  at bridge the second part ",Often not fullfiulled,Absent,Often not fullfiulled,really off,1
2021/07/21 3:20:36 p. m. EET,Billy10,No alignment with score,2nd part collapsed and so did bridge,poor,2nd part collapsed and so did bridge,Often not fullfiulled,Absent,Often not fullfiulled,2nd part collapsed and so did bridge,0
2021/07/21 2:43:48 p. m. EET,Billy11,"Very accurate, tiny deviations",nice openking,very good fidelity,"duration held whe it matters, need to keep volum contatnt on A chord to maintain sensation of const duration",Fulfilled to a very high degree,Excellent,Excellent,"No real faults found, very good perfromance",4
2021/07/21 2:54:41 p. m. EET,Billy12,Mostly accurate,a bit of a mess up in bridge but recovered,good,a bit of a mess up in bridge but recovered,Largely fulfilled (ocassion lapse),Some dynamics noted,Very Good,Over good need to keep the jerkey feel in all the verses. ,3
2021/07/21 3:06:02 p. m. EET,Billy13,"Very accurate, tiny deviations",volume also needs to be consistant,very good fidelity,"volume also needs to be consistant, this can effect perceived duration.
Watch on plucking to hard to get the duration in bridge",Fullfilled,Some dynamics noted,Very Good,An oveall good perfromance but room for improvement on articulation evennnes,3.5
2021/07/21 3:11:31 p. m. EET,Billy14,Exact,"nice, in sync. timny blemish a the end , but forgiveable.",Excellent fidelity to defined note duration,"Difficult to find fault. Nice control of note length in bridge, better than before.",Fulfilled to a very high degree,Excellent,Excellent,Not faults noticeable ,5
2021/07/21 3:17:01 p. m. EET,Billy15,Exact,hit the metronome OK,fair,"messed up bridge, did not hold notes.",Largely fulfilled (ocassion lapse),Some dynamics noted,Very Good,the bridge reall killed it.,2.2
