onset dev,offset dev,,,,,
0.002902494,0.005804989,,,,,
-0.007256235,0.007256236,,,,,
-0.001451247,0.013061225,,,,,
-0.007256236,0.021768707,,,,,
-0.015963718,0.001451248,,,,,
-0.01015873,0.017414966,,,,,
0.008707483,0.01814059,,,,,
-0.013061225,0.00798186,,,,,
-0.003628118,0.012335601,,,,,
-0.007981859,0.006530613,,,,,
-0.003628118,0.022494331,,,,,
-0.013786848,0.003628118,,,,,
0.003628118,0.013061225,,,,,
-0.008707483,0.02829932,,,,,
0.002176871,0.005079365,,,,,
-0.006530613,0.019591836,,,,,
-0.002176871,0.000725623,,,,,
-0.010884358,0.010158726,,,,,
-0.007981855,0.021043082,,,,,
-0.016689339,0.007256231,,,,,
-0.010884351,0.016689344,,,,,
-0.005079362,-0.010884349,,,,,
-0.007256236,-3.47E-09,,,,,
-0.015963721,0.010884352,,,,,
-0.003628122,0.018866213,,,,,
0.010884358,0.022494327,,,,,
0.011609974,0.02539682,,,,,
-0.011609973,0.022494327,,,,,
-4.42E-09,0.017414967,,,,,
0.011609974,0.038458047,,,,,
2.49E-09,0.006530609,,,,,
-4.40E-09,0.029024942,,,,,
1.38E-09,0.033378687,,,,,
0.011609977,0.019591836,,,,,
0.01160998,0.022494329,,,,,
-3.95E-09,0.03628118,,,,,
-5.49E-09,0.014512476,,,,,
2.97E-09,0.025396822,,,,,
-1.25E-09,0.023219958,,,,,
-5.46E-09,0.018140588,,,,,
-0.011609977,0.027573691,,,,,
-0.011609977,0.015238092,,,,,
-7.94E-10,-0.014512475,,,,,
-0.011609978,0.015238092,,,,,
-0.005804989,0.010158732,,,,,
-0.004353738,0.011609973,,,,,
0.002902495,0.014512476,,,,,
-0.013061227,0.026122451,,,,,
-0.005804993,0.021043083,,,,,
-0.01306122,0.023219957,,,,,
1.25E-09,0.023219955,,,,,
-0.00145125,0.023945576,,,,,
-0.001451247,0.026848069,,,,,
-0.010158729,0.024671205,,,,,
-0.007256233,0.024671202,,,,,
-0.013061222,0.021043087,,,,,
-0.015963721,0.038458053,,,,,
-0.014512477,0.036281179,,,,,
-0.008707479,0.021043085,,,,,
-0.001451246,0.03192744,,,,,
-0.010158727,0.014512474,,,,,
-0.005804987,0.029024945,,,,,
-0.015963723,0.020317461,,,,,
-0.00870748,0.023219954,,,,,
-0.008707487,0.009433102,,,,,
-0.001451244,0.020317458,,,,,
-0.002902495,0.013061226,,,,,
-0.007256239,0.039183674,,,,,
-0.001451251,0.016689341,,,,,
-0.015963718,0.013061224,,,,,
-0.007256237,0.034104304,,,,,
-0.010158726,0.011609975,,,,,
-0.004353738,0.013061221,,,,,
-0.008707485,0.025396829,,,,,
-0.002902496,0.021768703,,,,,
-0.013061225,0.026122448,,,,,
-0.017414969,0.030476194,,,,,
-0.002902499,0.026122444,,,,,
-0.004353738,0.018866214,,,,,
-0.007256237,0.015238097,,,,,
-0.010158733,0.030476191,,,,,
-0.010158727,0.012335602,,,,,
-0.005804991,0.010158727,,,,,
-0.013061223,0.027573693,,,,,
-0.00580499,0.034104311,,,,,
-0.008707481,0.01451247,,,,,
-0.007256233,0.030476194,,,,,
-0.002902499,0.034829929,,,,,
-0.008707488,0.021043088,,,,,
-0.008707483,0.017414961,,,,,
-0.005804989,0.011609972,,,,,
-0.005804994,0.027573695,,,,,
-0.008707485,0.034104313,,,,,
-0.013061229,0.011609979,,,,,
-0.017414964,0.027573692,,,,,
-0.01015873,0.007256231,,,,,
-0.007256239,0.011609977,,,,,
-0.008707486,0.0275737,,,,,
-0.005804993,0.013786848,,,,,
0.002902493,0.018140594,,,,,
-0.011609976,0.02902494,,,,,
-3.13E-09,0.02394558,,,,,
-0.011609975,0.015238096,,,,,
-0.008707482,0.022494327,,,,,
-0.01886621,0.03337868,,,,,
-0.011609977,0.012335605,,,,,
-0.017414964,0.007256235,,,,,
-0.010158734,0.031927438,,,,,
-0.014512468,0.023219953,,,,,
-0.011609975,0.036281181,,,,,
-0.013061225,0.018140593,,,,,
-0.011609975,0.236553285,,,,,
-0.008707482,0.790929708,,,,,
-0.015963718,0.03410431,,,,,
-0.013061225,0.017414963,,,,,
-0.014512471,0.809795914,,,,,
-0.011609978,1.028934243,,,,,
-0.002902492,0.026122444,,,,,
-0.013061224,0.500680271,,,,,
-0.004353746,0.029024939,,,,,
-0.013061224,0.034829927,,,,,
-0.008707481,0.026122446,,,,,
-0.015963722,0.023219953,,,,,
-0.007256237,0.020317463,,,,,
-0.002902491,0.023219959,,,,,
-0.01741497,0.013061223,,,,,
-0.011609973,0.013061226,,,,,
-0.007256238,0.030476192,,,,,
-0.007256232,0.01451247,,,,,
-0.005804993,0.024671206,,,,,
-0.014512468,0.013061228,,,,,
-0.013061229,0.011609976,,,,,
-0.005804986,0.029024942,,,,,
-0.002902493,0.030476186,,,,,
-0.007256231,0.014512475,,,,,
-0.005804993,0.024671197,,,,,
-0.00290249,0.02176871,,,,,
-0.002902498,0.021768704,,,,,
-0.007256232,0.021768707,,,,,
-0.001451244,0.020317455,,,,,
-0.018866212,0.018866214,,,,,
-0.001451247,0.030476194,,,,,
-0.008707488,0.029024943,,,,,
-0.010158735,0.014512476,,,,,
-0.004353747,0.018866209,,,,,
-0.004353741,0.011609973,,,,,
-0.004353745,0.036281178,,,,,
-0.011609977,0.017414964,,,,,
-0.008707484,0.02031746,,,,,
-0.011609975,0.021768704,,,,,
-0.015963719,0.029024947,,,,,
-0.007256234,0.027573696,,,,,
-0.014512475,0.015963718,,,,,
-0.002902492,0.031927436,,,,,
-0.005804993,0.027573691,,,,,
-0.008707485,0.030476187,,,,,
-0.005804992,0.024671205,,,,,
-0.001451246,0.023219953,,,,,
-0.013061228,0.039183675,,,,,
-0.004353746,0.024671204,,,,,
-0.002902496,0.026122452,,,,,
-0.013061225,0.010158727,,,,,
-0.001451251,0.029024947,,,,,
-0.015963718,0.029024944,,,,,
-0.01015873,0.021768707,,,,,
-0.005804994,0.034829928,,,,,
-0.00870748,0.029024939,,,,,
-0.013061224,0.03337868,,,,,
-0.002902494,0.026122453,,,,,
-0.010158735,0.03047619,,,,,
0.001451248,0.015963723,,,,,
-0.015963718,0.034829933,,,,,
-0.004353745,0.036281174,,,,,
-0.004353739,0.0246712,,,,,
-0.004353744,0.011609978,,,,,
-0.002902495,0.021768703,,,,,
-0.001451245,0.039183676,,,,,
-0.004353746,0.026122453,,,,,
-0.01306122,0.024671202,,,,,
-0.002902492,0.03047619,,,,,
-0.011609976,0.036281175,,,,,
-0.013061223,0.030476187,,,,,
-0.013061227,0.021768705,,,,,
-0.015963719,0.029024945,,,,,
-0.00580499,0.026122445,,,,,
-0.005804985,0.024671203,,,,,
-4.22E-09,0.02176871,,,,,
-0.002902496,0.029024947,,,,,
-0.00290249,0.027573698,,,,,
-0.008707483,0.030476187,,,,,
-0.002902493,0.029024939,,,,,
-0.010158734,0.023219953,,,,,
-0.014512468,0.015963716,,,,,
-0.007256235,0.014512474,,,,,
-0.014512477,0.026122445,,,,,
-0.010158731,0.027573699,,,,,
-0.013061227,0.01451247,,,,,
-0.013061221,0.030476188,,,,,
-0.002902491,0.034829932,,,,,
-0.018866212,0.027573695,,,,,
-0.004353742,0.023219954,,,,,
2.11E-09,0.024671205,,,,,
-0.005804985,0.029024945,,,,,
-0.008707486,0.033378685,,,,,
-0.010158733,0.017414964,,,,,
-4.76E-09,0.018866208,,,,,
-0.013061229,0.036281174,,,,,
-0.011609981,0.020317455,,,,,
0.001451247,0.01451247,,,,,
-0.002902497,0.017414969,,,,,
-0.013061226,0.031927442,,,,,
-0.00870748,0.021768705,,,,,
-0.00725624,0.021768709,,,,,
-0.008707479,0.017414964,,,,,
-0.008707483,0.033378682,,,,,
0.005804986,0.027573693,,,,,
-0.004353741,0.030476189,,,,,
-0.00580499,0.018866208,,,,,
4.08E-10,0.024671196,,,,,
-0.011609981,0.029024947,,,,,
-0.005804991,0.011609981,,,,,
-0.008707482,0.034829928,,,,,
-0.002902494,0.031927432,,,,,
-0.011609978,0.020317458,,,,,
-0.007256232,0.00435374,,,,,
-0.005804994,0.021768705,,,,,
-0.002902491,0.033378686,,,,,
-0.011609975,0.017414964,,,,,
-0.010158726,0.018866208,,,,,
-0.001451251,0.031927437,,,,,
-0.010158735,0.037732422,,,,,
-0.001451249,0.037732423,,,,,
-0.001451243,0.018866214,,,,,
-0.00725624,0.022494326,,,,,
-0.005804992,0.039909296,,,,,
-0.001451246,0.01959184,,,,,
-0.01015873,0.025396823,,,,,
-0.005804984,0.026122446,,,,,
-0.004353746,0.025396822,,,,,
-0.01306122,0.013061221,,,,,
-0.005804987,0.011609978,,,,,
-0.005804991,0,,,,,
-0.005804985,0,,,,,
-0.01015873,0,,,,,
-0.011609977,0,,,,,
-0.005804988,0,,,,,
-0.007256237,0,,,,,
-0.010158729,0,,,,,
-0.011609975,0,,,,,
-0.008707482,0,,,,,
-0.004353747,0,,,,,
-0.007256238,0,,,,,
-0.001451248,0,,,,,
8.16E-10,0,,,,,
-0.008707483,0,,,,,
-0.008707488,0,,,,,
-0.011609979,0,,,,,
0.004353744,0,,,,,
-0.011609978,0,,,,,
-0.008707484,0,,,,,
-0.005804991,0,,,,,
-0.00725624,0,,,,,
-0.010158732,0,,,,,
-0.001451246,0,,,,,
-0.002902493,0,,,,,
-0.005804984,0,,,,,
-0.011609981,0,,,,,
-0.002902496,0,,,,,
-0.004353742,0,,,,,
-0.010158731,0,,,,,
-0.008707483,0,,,,,
-0.007256234,0,,,,,
,,,,,0.01160998,1.028934243
,,,,,,
,,,,,0.01160998,1.028934243
